"","resource","time","server","queue","capacity","queue_size","system","limit","replication"
"90","recepcioner",380,2,4,2,Inf,6,Inf,1
"91","recepcioner",380,2,5,2,Inf,7,Inf,1
"92","recepcioner",380,2,6,2,Inf,8,Inf,1
"93","recepcioner",383.778116459329,2,5,2,Inf,7,Inf,1
"94","recepcioner",384.183981519823,2,4,2,Inf,6,Inf,1
"95","recepcioner",387.177350745018,2,3,2,Inf,5,Inf,1
"96","soba",388.779412310372,11,0,18,Inf,11,Inf,1
"97","recepcioner",389.448329657799,2,2,2,Inf,4,Inf,1
"98","soba",389.653886730593,12,0,18,Inf,12,Inf,1
"99","recepcioner",392.241006666873,2,1,2,Inf,3,Inf,1
"100","soba",392.339016383672,13,0,18,Inf,13,Inf,1
"101","recepcioner",393.377435472567,2,0,2,Inf,2,Inf,1
"102","soba",395.040582026803,14,0,18,Inf,14,Inf,1
"103","recepcioner",396.557311719704,1,0,2,Inf,1,Inf,1
"104","recepcioner",397.634951928276,0,0,2,Inf,0,Inf,1
"105","soba",397.679349408695,15,0,18,Inf,15,Inf,1
"106","soba",398.006072703158,16,0,18,Inf,16,Inf,1
"107","soba",400.963291855554,17,0,18,Inf,17,Inf,1
"108","soba",403.354620441678,18,0,18,Inf,18,Inf,1
